review_text,word_count,rating,sentiment
Very comfortable,16,4,positive
Best airline ever,36,5,positive
Excellent service,57,4,positive
Nothing special,93,3,neutral
Average experience,86,3,neutral
It was okay,68,3,neutral
Amazing flight,35,5,positive
Very rude staff,80,2,negative
Worst flight ever,22,1,negative
Excellent service,10,5,positive
Nothing special,7,3,neutral
Lost my luggage,17,2,negative
Nothing special,65,3,neutral
Terrible experience,74,1,negative
Amazing flight,16,4,positive
Excellent service,11,4,positive
Very rude staff,89,2,negative
Worst flight ever,58,2,negative
Terrible experience,8,1,negative
Amazing flight,16,4,positive
Best airline ever,65,4,positive
Very comfortable,75,5,positive
Very comfortable,47,4,positive
Excellent service,34,4,positive
Worst flight ever,55,1,negative
Average experience,23,3,neutral
Worst flight ever,33,1,negative
Decent service,49,3,neutral
Lost my luggage,80,1,negative
Lost my luggage,25,2,negative
Average experience,71,3,neutral
Decent service,27,3,neutral
Terrible experience,82,2,negative
Worst flight ever,67,1,negative
Terrible experience,65,2,negative
Terrible experience,65,2,negative
Lost my luggage,91,2,negative
Terrible experience,80,1,negative
It was okay,22,3,neutral
Excellent service,49,4,positive
Amazing flight,30,5,positive
Very rude staff,21,2,negative
Worst flight ever,23,2,negative
Terrible experience,21,1,negative
Terrible experience,77,1,negative
Worst flight ever,16,1,negative
Terrible experience,45,1,negative
Decent service,11,3,neutral
Decent service,70,3,neutral
Best airline ever,7,5,positive
Very comfortable,57,4,positive
Lost my luggage,40,2,negative
Very rude staff,77,1,negative
Terrible experience,58,2,negative
Very rude staff,96,2,negative
Very rude staff,44,2,negative
Best airline ever,73,4,positive
Amazing flight,27,4,positive
Very comfortable,10,4,positive
It was okay,45,3,neutral
Very rude staff,96,2,negative
Very rude staff,39,1,negative
Worst flight ever,37,1,negative
Average experience,26,3,neutral
Average experience,8,3,neutral
Very comfortable,95,5,positive
Amazing flight,40,5,positive
Best airline ever,63,4,positive
It was okay,41,3,neutral
It was okay,88,3,neutral
Amazing flight,62,5,positive
Amazing flight,36,4,positive
Lost my luggage,19,2,negative
Worst flight ever,64,1,negative
Very rude staff,24,2,negative
Average experience,27,3,neutral
Very rude staff,26,2,negative
Excellent service,12,5,positive
Amazing flight,13,5,positive
Lost my luggage,71,2,negative
Terrible experience,47,2,negative
Best airline ever,94,5,positive
Very comfortable,23,4,positive
Excellent service,17,4,positive
Nothing special,98,3,neutral
Lost my luggage,43,1,negative
Amazing flight,32,5,positive
Lost my luggage,91,2,negative
Lost my luggage,39,1,negative
Nothing special,60,3,neutral
It was okay,63,3,neutral
Very rude staff,29,1,negative
Best airline ever,68,5,positive
Average experience,97,3,neutral
Amazing flight,86,4,positive
Worst flight ever,49,2,negative
Terrible experience,38,1,negative
Terrible experience,48,1,negative
Best airline ever,79,4,positive
Nothing special,57,3,neutral
Decent service,11,3,neutral
Decent service,19,3,neutral
Very rude staff,47,1,negative
Worst flight ever,88,2,negative
Worst flight ever,42,1,negative
Lost my luggage,82,1,negative
Excellent service,78,4,positive
Best airline ever,45,4,positive
Amazing flight,32,4,positive
Worst flight ever,20,2,negative
Very comfortable,27,5,positive
Best airline ever,57,4,positive
Decent service,99,3,neutral
Lost my luggage,99,1,negative
Excellent service,28,5,positive
Best airline ever,56,4,positive
Amazing flight,55,5,positive
Best airline ever,5,4,positive
Very rude staff,74,1,negative
Worst flight ever,12,1,negative
Nothing special,34,3,neutral
Very rude staff,85,2,negative
Decent service,42,3,neutral
Very rude staff,76,2,negative
Amazing flight,94,4,positive
Very rude staff,93,2,negative
Terrible experience,44,1,negative
Very rude staff,66,2,negative
Very rude staff,25,2,negative
Nothing special,9,3,neutral
Best airline ever,69,4,positive
Worst flight ever,63,2,negative
Amazing flight,78,4,positive
Very comfortable,7,4,positive
Lost my luggage,91,2,negative
Best airline ever,97,4,positive
Amazing flight,66,5,positive
Lost my luggage,98,1,negative
Nothing special,10,3,neutral
Terrible experience,37,1,negative
Nothing special,67,3,neutral
Terrible experience,38,2,negative
Very comfortable,62,4,positive
It was okay,32,3,neutral
Very rude staff,10,2,negative
Worst flight ever,76,2,negative
It was okay,16,3,neutral
Lost my luggage,40,2,negative
Nothing special,9,3,neutral
Best airline ever,96,4,positive
Amazing flight,98,4,positive
Lost my luggage,70,1,negative
Amazing flight,37,5,positive
Excellent service,71,5,positive
Worst flight ever,14,2,negative
It was okay,19,3,neutral
Terrible experience,74,1,negative
Terrible experience,96,2,negative
Best airline ever,51,4,positive
Amazing flight,26,5,positive
Amazing flight,42,4,positive
Worst flight ever,94,2,negative
Worst flight ever,21,2,negative
Lost my luggage,28,2,negative
Very rude staff,66,1,negative
Worst flight ever,79,1,negative
Decent service,88,3,neutral
Decent service,51,3,neutral
Amazing flight,78,5,positive
Terrible experience,52,2,negative
Best airline ever,91,4,positive
Lost my luggage,66,2,negative
Terrible experience,88,1,negative
Terrible experience,55,2,negative
Worst flight ever,63,2,negative
Worst flight ever,35,2,negative
Worst flight ever,54,2,negative
Decent service,60,3,neutral
Nothing special,37,3,neutral
Best airline ever,6,5,positive
Best airline ever,66,5,positive
Average experience,9,3,neutral
Very rude staff,77,1,negative
Best airline ever,85,5,positive
Lost my luggage,93,1,negative
Lost my luggage,18,2,negative
Terrible experience,62,2,negative
It was okay,29,3,neutral
Very rude staff,36,2,negative
Average experience,57,3,neutral
Excellent service,95,5,positive
Terrible experience,14,2,negative
Very comfortable,25,4,positive
Amazing flight,84,5,positive
Very rude staff,59,1,negative
Very comfortable,12,4,positive
Best airline ever,38,4,positive
Decent service,92,3,neutral
It was okay,55,3,neutral
Very rude staff,83,1,negative
Very rude staff,93,1,negative
Amazing flight,95,5,positive
Decent service,29,3,neutral
Nothing special,60,3,neutral
Terrible experience,22,2,negative
Excellent service,24,5,positive
It was okay,96,3,neutral
Decent service,18,3,neutral
Very rude staff,56,1,negative
Best airline ever,42,5,positive
Best airline ever,15,4,positive
Lost my luggage,32,1,negative
Very comfortable,83,5,positive
Very rude staff,34,2,negative
Very comfortable,9,4,positive
Terrible experience,72,1,negative
Decent service,75,3,neutral
Very comfortable,43,5,positive
Nothing special,44,3,neutral
Very rude staff,39,1,negative
Lost my luggage,7,1,negative
Very rude staff,96,1,negative
Excellent service,41,5,positive
Excellent service,72,5,positive
Nothing special,62,3,neutral
Worst flight ever,15,1,negative
Very comfortable,8,5,positive
Very comfortable,72,4,positive
Excellent service,48,5,positive
Best airline ever,94,4,positive
Terrible experience,94,2,negative
Best airline ever,54,4,positive
Terrible experience,77,2,negative
Lost my luggage,81,1,negative
Average experience,56,3,neutral
Very rude staff,83,1,negative
Very comfortable,31,5,positive
Lost my luggage,13,2,negative
Terrible experience,22,2,negative
Worst flight ever,14,2,negative
Average experience,42,3,neutral
Very rude staff,40,2,negative
Lost my luggage,42,1,negative
Worst flight ever,45,1,negative
Terrible experience,14,2,negative
Nothing special,11,3,neutral
Very rude staff,83,2,negative
Very comfortable,15,5,positive
Terrible experience,68,2,negative
Decent service,47,3,neutral
Amazing flight,14,4,positive
Lost my luggage,9,1,negative
Excellent service,87,5,positive
Worst flight ever,36,1,negative
Decent service,81,3,neutral
It was okay,45,3,neutral
Amazing flight,76,5,positive
Best airline ever,55,4,positive
Very comfortable,15,4,positive
Amazing flight,6,5,positive
Best airline ever,50,4,positive
Excellent service,80,4,positive
Nothing special,66,3,neutral
Terrible experience,21,1,negative
Lost my luggage,14,2,negative
Best airline ever,16,4,positive
Best airline ever,47,4,positive
Excellent service,54,4,positive
Very comfortable,41,4,positive
It was okay,40,3,neutral
Very rude staff,49,2,negative
Nothing special,50,3,neutral
It was okay,85,3,neutral
Nothing special,40,3,neutral
Amazing flight,46,4,positive
Excellent service,25,4,positive
Worst flight ever,92,2,negative
Average experience,89,3,neutral
Lost my luggage,9,2,negative
Very rude staff,47,2,negative
Very rude staff,52,2,negative
Amazing flight,58,4,positive
Nothing special,19,3,neutral
Best airline ever,35,4,positive
It was okay,23,3,neutral
It was okay,68,3,neutral
It was okay,78,3,neutral
Very rude staff,77,1,negative
Lost my luggage,15,1,negative
Lost my luggage,28,2,negative
Very comfortable,72,4,positive
Amazing flight,66,4,positive
Terrible experience,52,2,negative
Terrible experience,54,2,negative
Worst flight ever,99,2,negative
Amazing flight,28,4,positive
Best airline ever,70,5,positive
Terrible experience,10,2,negative
Decent service,37,3,neutral
Terrible experience,60,2,negative
Best airline ever,55,4,positive
Decent service,71,3,neutral
Amazing flight,40,5,positive
Excellent service,37,5,positive
Amazing flight,8,4,positive
Very rude staff,42,2,negative
Decent service,92,3,neutral
It was okay,11,3,neutral
Nothing special,45,3,neutral
Nothing special,74,3,neutral
Excellent service,76,4,positive
Decent service,15,3,neutral
Very comfortable,9,5,positive
Lost my luggage,80,1,negative
Nothing special,35,3,neutral
Decent service,88,3,neutral
Worst flight ever,19,2,negative
Lost my luggage,69,1,negative
Average experience,57,3,neutral
Nothing special,38,3,neutral
Very comfortable,91,5,positive
Best airline ever,94,4,positive
Best airline ever,86,4,positive
Excellent service,10,5,positive
Nothing special,63,3,neutral
Amazing flight,43,4,positive
Best airline ever,91,5,positive
Terrible experience,92,2,negative
Terrible experience,74,2,negative
Terrible experience,48,1,negative
Very rude staff,22,2,negative
Very rude staff,88,1,negative
Amazing flight,54,4,positive
Average experience,48,3,neutral
Amazing flight,62,4,positive
Lost my luggage,21,1,negative
Best airline ever,59,5,positive
Lost my luggage,53,1,negative
Very comfortable,40,4,positive
Average experience,53,3,neutral
Worst flight ever,60,2,negative
Terrible experience,49,2,negative
Lost my luggage,64,1,negative
Decent service,7,3,neutral
Excellent service,50,4,positive
Lost my luggage,94,2,negative
Decent service,64,3,neutral
Nothing special,37,3,neutral
Very rude staff,85,2,negative
Very comfortable,30,5,positive
Very comfortable,17,5,positive
Excellent service,91,4,positive
Average experience,34,3,neutral
Average experience,72,3,neutral
Decent service,76,3,neutral
Lost my luggage,99,1,negative
Amazing flight,64,4,positive
Amazing flight,12,4,positive
Decent service,72,3,neutral
It was okay,93,3,neutral
Worst flight ever,83,1,negative
Terrible experience,38,1,negative
Best airline ever,62,5,positive
Lost my luggage,37,2,negative
Average experience,44,3,neutral
Very rude staff,54,1,negative
Worst flight ever,54,2,negative
Amazing flight,95,4,positive
Lost my luggage,86,1,negative
Nothing special,57,3,neutral
Very comfortable,95,5,positive
Amazing flight,19,5,positive
Very rude staff,8,2,negative
Average experience,74,3,neutral
Very comfortable,32,5,positive
Nothing special,45,3,neutral
Nothing special,82,3,neutral
Very comfortable,9,4,positive
Best airline ever,74,5,positive
Average experience,19,3,neutral
Terrible experience,37,2,negative
Terrible experience,73,1,negative
Very rude staff,42,2,negative
Very comfortable,20,4,positive
Very comfortable,69,5,positive
Excellent service,75,5,positive
Lost my luggage,72,1,negative
Best airline ever,26,5,positive
Lost my luggage,52,2,negative
Very comfortable,98,4,positive
Best airline ever,81,5,positive
Lost my luggage,95,1,negative
Worst flight ever,98,1,negative
Decent service,57,3,neutral
Terrible experience,50,1,negative
Best airline ever,80,4,positive
Terrible experience,8,2,negative
Nothing special,15,3,neutral
Very comfortable,21,5,positive
Best airline ever,13,5,positive
Terrible experience,19,2,negative
Decent service,9,3,neutral
Best airline ever,75,4,positive
Amazing flight,78,4,positive
Best airline ever,59,4,positive
Very rude staff,35,2,negative
Very rude staff,72,2,negative
Very comfortable,81,4,positive
Excellent service,46,5,positive
Worst flight ever,36,2,negative
Amazing flight,6,5,positive
Nothing special,49,3,neutral
Excellent service,11,4,positive
Very comfortable,22,4,positive
Lost my luggage,6,2,negative
Lost my luggage,41,2,negative
Worst flight ever,41,2,negative
Best airline ever,16,4,positive
Nothing special,11,3,neutral
Amazing flight,16,5,positive
Very comfortable,82,5,positive
Very rude staff,28,2,negative
Excellent service,56,4,positive
Excellent service,78,4,positive
Decent service,50,3,neutral
Amazing flight,74,4,positive
Terrible experience,32,1,negative
Best airline ever,69,4,positive
Terrible experience,42,1,negative
Worst flight ever,44,1,negative
Excellent service,7,5,positive
Lost my luggage,97,2,negative
Very rude staff,54,1,negative
Amazing flight,40,4,positive
Average experience,54,3,neutral
Amazing flight,74,4,positive
Excellent service,66,5,positive
Amazing flight,8,5,positive
Average experience,83,3,neutral
Best airline ever,60,5,positive
Worst flight ever,31,1,negative
Lost my luggage,80,2,negative
Lost my luggage,30,1,negative
It was okay,31,3,neutral
Terrible experience,52,2,negative
Very rude staff,84,2,negative
Best airline ever,82,4,positive
Average experience,60,3,neutral
Excellent service,36,5,positive
Average experience,49,3,neutral
It was okay,24,3,neutral
Excellent service,59,4,positive
It was okay,17,3,neutral
Worst flight ever,39,1,negative
Lost my luggage,43,1,negative
Nothing special,55,3,neutral
Very comfortable,63,4,positive
Nothing special,79,3,neutral
Nothing special,9,3,neutral
Terrible experience,13,1,negative
Very comfortable,10,4,positive
Very rude staff,45,2,negative
Terrible experience,98,2,negative
Excellent service,97,4,positive
Amazing flight,27,4,positive
Worst flight ever,30,2,negative
Average experience,26,3,neutral
Lost my luggage,89,1,negative
Very rude staff,74,1,negative
Very rude staff,27,2,negative
Excellent service,90,5,positive
Excellent service,22,5,positive
Average experience,67,3,neutral
Terrible experience,50,2,negative
Lost my luggage,43,2,negative
Best airline ever,22,5,positive
Decent service,98,3,neutral
Best airline ever,37,5,positive
Excellent service,74,5,positive
Very comfortable,87,5,positive
Terrible experience,80,1,negative
Very rude staff,41,2,negative
It was okay,86,3,neutral
Decent service,48,3,neutral
Terrible experience,82,2,negative
Lost my luggage,80,1,negative
Terrible experience,72,2,negative
Decent service,41,3,neutral
Average experience,11,3,neutral
Worst flight ever,38,1,negative
Worst flight ever,49,2,negative
Worst flight ever,78,1,negative
Excellent service,67,5,positive
Very rude staff,82,2,negative
Excellent service,82,4,positive
Terrible experience,80,1,negative
Very comfortable,13,4,positive
Terrible experience,75,1,negative
Decent service,84,3,neutral
Excellent service,73,4,positive
It was okay,43,3,neutral
Decent service,32,3,neutral
Average experience,44,3,neutral
It was okay,62,3,neutral
Worst flight ever,44,2,negative
Terrible experience,11,2,negative
Very comfortable,39,5,positive
It was okay,36,3,neutral
Very comfortable,52,5,positive
Very comfortable,62,5,positive
Very comfortable,56,4,positive
Terrible experience,63,1,negative
Decent service,18,3,neutral
Lost my luggage,85,2,negative
Excellent service,25,4,positive
Very rude staff,60,2,negative
Best airline ever,5,5,positive
Worst flight ever,63,1,negative
Very comfortable,50,5,positive
Amazing flight,55,5,positive
Worst flight ever,50,1,negative
Decent service,6,3,neutral
Amazing flight,39,5,positive
It was okay,97,3,neutral
Very comfortable,95,4,positive
Nothing special,42,3,neutral
Best airline ever,32,4,positive
Terrible experience,30,1,negative
Very comfortable,75,5,positive
Excellent service,24,5,positive
Very comfortable,38,5,positive
Best airline ever,49,4,positive
Lost my luggage,56,1,negative
Very comfortable,21,5,positive
Lost my luggage,20,1,negative
Excellent service,51,5,positive
Very rude staff,6,2,negative
Lost my luggage,87,1,negative
Excellent service,35,4,positive
Amazing flight,44,5,positive
Very rude staff,28,1,negative
Very rude staff,95,2,negative
Very comfortable,93,5,positive
Terrible experience,72,1,negative
Very rude staff,36,2,negative
It was okay,14,3,neutral
Amazing flight,26,4,positive
Excellent service,86,4,positive
Best airline ever,58,5,positive
Amazing flight,33,5,positive
Lost my luggage,24,1,negative
Amazing flight,15,5,positive
Excellent service,47,5,positive
Very comfortable,66,5,positive
Terrible experience,85,2,negative
Terrible experience,41,1,negative
Very comfortable,93,4,positive
Amazing flight,73,5,positive
Very comfortable,80,4,positive
Decent service,22,3,neutral
Excellent service,21,4,positive
Best airline ever,57,4,positive
Decent service,96,3,neutral
Terrible experience,87,2,negative
Average experience,21,3,neutral
Very comfortable,18,5,positive
Decent service,39,3,neutral
Very comfortable,77,5,positive
Lost my luggage,92,1,negative
Excellent service,78,5,positive
Amazing flight,37,4,positive
Nothing special,31,3,neutral
Terrible experience,11,2,negative
Lost my luggage,86,1,negative
Lost my luggage,29,1,negative
Very rude staff,75,1,negative
Very rude staff,52,1,negative
Best airline ever,28,4,positive
Decent service,23,3,neutral
Lost my luggage,14,2,negative
Worst flight ever,65,2,negative
Terrible experience,76,2,negative
Nothing special,56,3,neutral
Decent service,59,3,neutral
Terrible experience,64,2,negative
Amazing flight,38,5,positive
Excellent service,74,5,positive
Excellent service,96,5,positive
Worst flight ever,36,1,negative
Very rude staff,68,2,negative
Terrible experience,90,1,negative
Very rude staff,51,2,negative
Excellent service,36,4,positive
Excellent service,86,4,positive
Excellent service,58,5,positive
Excellent service,12,4,positive
Terrible experience,88,1,negative
Amazing flight,82,5,positive
Best airline ever,25,4,positive
Worst flight ever,68,2,negative
Very comfortable,76,4,positive
Very comfortable,81,5,positive
Excellent service,30,4,positive
Best airline ever,77,4,positive
Worst flight ever,90,2,negative
Terrible experience,86,2,negative
Very comfortable,35,4,positive
Lost my luggage,98,1,negative
Excellent service,47,4,positive
Lost my luggage,15,1,negative
Best airline ever,83,4,positive
Excellent service,64,5,positive
Excellent service,25,4,positive
Very rude staff,35,1,negative
Worst flight ever,85,2,negative
Very rude staff,8,1,negative
Best airline ever,69,4,positive
Lost my luggage,17,2,negative
Amazing flight,59,4,positive
Nothing special,19,3,neutral
Best airline ever,45,4,positive
It was okay,65,3,neutral
Lost my luggage,52,1,negative
Lost my luggage,42,1,negative
Excellent service,71,4,positive
Terrible experience,81,2,negative
Very rude staff,31,1,negative
Average experience,64,3,neutral
Lost my luggage,9,2,negative
Best airline ever,23,4,positive
Average experience,68,3,neutral
Very comfortable,25,4,positive
Terrible experience,40,2,negative
Very comfortable,55,5,positive
Lost my luggage,96,2,negative
Very rude staff,21,2,negative
Terrible experience,27,1,negative
Very rude staff,67,1,negative
Lost my luggage,83,2,negative
Excellent service,68,4,positive
Average experience,86,3,neutral
Decent service,52,3,neutral
Average experience,93,3,neutral
Terrible experience,43,1,negative
Very comfortable,92,4,positive
Decent service,70,3,neutral
Worst flight ever,30,1,negative
Lost my luggage,21,1,negative
Amazing flight,39,5,positive
Very rude staff,71,1,negative
Best airline ever,76,5,positive
Very comfortable,26,5,positive
Excellent service,7,4,positive
Very rude staff,10,1,negative
Nothing special,55,3,neutral
Average experience,69,3,neutral
Amazing flight,71,4,positive
Very rude staff,18,1,negative
Average experience,85,3,neutral
Best airline ever,33,4,positive
Terrible experience,64,1,negative
Best airline ever,14,5,positive
Very comfortable,43,5,positive
Very comfortable,25,4,positive
Lost my luggage,37,2,negative
Very comfortable,53,5,positive
Very rude staff,17,2,negative
Lost my luggage,93,1,negative
Worst flight ever,70,2,negative
Very rude staff,40,1,negative
It was okay,17,3,neutral
Terrible experience,6,1,negative
Very rude staff,6,1,negative
Lost my luggage,97,1,negative
Very comfortable,77,5,positive
Best airline ever,34,4,positive
Decent service,38,3,neutral
Best airline ever,40,4,positive
Worst flight ever,43,1,negative
Amazing flight,30,5,positive
Worst flight ever,60,2,negative
Average experience,67,3,neutral
Best airline ever,36,5,positive
Excellent service,56,4,positive
Very comfortable,32,5,positive
Average experience,88,3,neutral
Decent service,16,3,neutral
Worst flight ever,20,1,negative
Excellent service,50,4,positive
Lost my luggage,70,1,negative
Lost my luggage,96,1,negative
Very comfortable,20,5,positive
Very rude staff,97,2,negative
Worst flight ever,79,1,negative
Best airline ever,95,5,positive
Excellent service,6,5,positive
Amazing flight,43,5,positive
Worst flight ever,18,1,negative
Nothing special,78,3,neutral
Terrible experience,93,2,negative
Excellent service,87,4,positive
It was okay,24,3,neutral
Average experience,35,3,neutral
Terrible experience,90,2,negative
Decent service,18,3,neutral
Very rude staff,85,1,negative
Best airline ever,63,4,positive
Excellent service,45,5,positive
Very rude staff,54,2,negative
Worst flight ever,78,2,negative
Amazing flight,90,5,positive
Lost my luggage,21,2,negative
Amazing flight,61,4,positive
Worst flight ever,32,1,negative
Lost my luggage,38,1,negative
Lost my luggage,90,1,negative
Nothing special,12,3,neutral
Excellent service,50,4,positive
It was okay,14,3,neutral
Terrible experience,86,1,negative
Worst flight ever,26,2,negative
Worst flight ever,48,2,negative
Very comfortable,68,4,positive
Worst flight ever,30,2,negative
Decent service,90,3,neutral
Amazing flight,43,4,positive
Very rude staff,30,2,negative
Worst flight ever,89,2,negative
Amazing flight,28,4,positive
Lost my luggage,54,1,negative
Very rude staff,44,2,negative
Lost my luggage,49,2,negative
Very rude staff,56,1,negative
Very comfortable,44,5,positive
Very rude staff,34,2,negative
Very rude staff,56,1,negative
Terrible experience,20,2,negative
Decent service,60,3,neutral
Lost my luggage,98,1,negative
Average experience,45,3,neutral
Best airline ever,42,4,positive
Amazing flight,11,4,positive
It was okay,39,3,neutral
Best airline ever,93,4,positive
Best airline ever,74,4,positive
Lost my luggage,44,2,negative
It was okay,82,3,neutral
Best airline ever,15,5,positive
Very comfortable,35,4,positive
It was okay,62,3,neutral
Excellent service,34,4,positive
It was okay,34,3,neutral
Decent service,90,3,neutral
Terrible experience,14,2,negative
Very rude staff,6,1,negative
Worst flight ever,21,2,negative
Worst flight ever,64,1,negative
Decent service,5,3,neutral
Lost my luggage,62,2,negative
Terrible experience,49,2,negative
Best airline ever,63,4,positive
Lost my luggage,36,2,negative
It was okay,42,3,neutral
Lost my luggage,64,2,negative
Best airline ever,48,4,positive
Best airline ever,72,4,positive
Average experience,86,3,neutral
Amazing flight,81,4,positive
It was okay,63,3,neutral
Best airline ever,7,5,positive
Very rude staff,41,2,negative
Lost my luggage,33,2,negative
Decent service,61,3,neutral
Very comfortable,76,5,positive
Amazing flight,51,5,positive
Decent service,34,3,neutral
Very comfortable,49,4,positive
Lost my luggage,90,2,negative
Very comfortable,45,5,positive
Best airline ever,72,5,positive
Lost my luggage,93,2,negative
Worst flight ever,20,2,negative
It was okay,28,3,neutral
Very rude staff,50,1,negative
It was okay,33,3,neutral
Nothing special,50,3,neutral
It was okay,17,3,neutral
Terrible experience,95,1,negative
Terrible experience,39,1,negative
Best airline ever,97,5,positive
Very rude staff,70,2,negative
Amazing flight,14,4,positive
Best airline ever,20,4,positive
Very rude staff,9,1,negative
Amazing flight,36,5,positive
Very rude staff,79,2,negative
Terrible experience,42,2,negative
Terrible experience,38,2,negative
Lost my luggage,88,2,negative
Average experience,34,3,neutral
It was okay,90,3,neutral
Very rude staff,31,2,negative
Excellent service,83,5,positive
Terrible experience,85,2,negative
Very rude staff,65,1,negative
Excellent service,49,5,positive
Nothing special,20,3,neutral
Terrible experience,69,2,negative
Nothing special,6,3,neutral
Very rude staff,22,2,negative
Very comfortable,18,4,positive
Amazing flight,57,5,positive
Very comfortable,61,4,positive
Worst flight ever,94,1,negative
Very rude staff,53,1,negative
Lost my luggage,22,1,negative
It was okay,58,3,neutral
Excellent service,63,4,positive
Terrible experience,36,1,negative
Best airline ever,50,4,positive
Decent service,73,3,neutral
Very rude staff,24,2,negative
Lost my luggage,54,1,negative
Very rude staff,22,2,negative
Average experience,26,3,neutral
Average experience,9,3,neutral
Lost my luggage,73,2,negative
Very comfortable,53,5,positive
Very rude staff,78,2,negative
Terrible experience,37,2,negative
Excellent service,45,4,positive
Best airline ever,12,4,positive
Excellent service,97,5,positive
Amazing flight,15,4,positive
Worst flight ever,78,2,negative
Best airline ever,81,5,positive
Amazing flight,78,4,positive
Very rude staff,35,1,negative
Lost my luggage,90,2,negative
Amazing flight,59,5,positive
Terrible experience,92,1,negative
Amazing flight,55,4,positive
Worst flight ever,99,2,negative
Best airline ever,66,5,positive
Worst flight ever,25,2,negative
Worst flight ever,81,1,negative
Very comfortable,30,5,positive
Excellent service,96,5,positive
Very rude staff,84,1,negative
Amazing flight,17,5,positive
Lost my luggage,71,2,negative
Very comfortable,88,5,positive
Very comfortable,48,5,positive
Best airline ever,80,4,positive
Excellent service,82,5,positive
Lost my luggage,7,1,negative
Worst flight ever,24,2,negative
Lost my luggage,10,1,negative
Very comfortable,8,5,positive
Average experience,27,3,neutral
Decent service,9,3,neutral
It was okay,16,3,neutral
Lost my luggage,64,2,negative
Nothing special,94,3,neutral
Amazing flight,30,5,positive
Best airline ever,97,4,positive
Very rude staff,63,2,negative
Very rude staff,17,1,negative
Worst flight ever,13,2,negative
Very rude staff,77,1,negative
Lost my luggage,47,1,negative
Lost my luggage,27,1,negative
Nothing special,93,3,neutral
Amazing flight,26,5,positive
Excellent service,86,5,positive
Very rude staff,46,2,negative
It was okay,53,3,neutral
Terrible experience,36,2,negative
Nothing special,88,3,neutral
Excellent service,12,5,positive
Very comfortable,99,5,positive
Very comfortable,25,5,positive
Amazing flight,83,5,positive
Best airline ever,69,5,positive
Very rude staff,31,1,negative
Average experience,22,3,neutral
Excellent service,82,4,positive
Nothing special,49,3,neutral
Very rude staff,78,1,negative
Worst flight ever,53,2,negative
Worst flight ever,53,2,negative
Decent service,9,3,neutral
It was okay,69,3,neutral
Best airline ever,52,4,positive
Very rude staff,62,1,negative
